Job_Step_1,Job_Step_2,Job
01-01-01-01-01,01-01-01-01-02,SN
01-01-01-01-01,01-01-01-02-01,SN
01-01-01-01-01,01-01-01-02-01,NS
01-01-01-01-02,01-01-01-01-03,SN
01-01-01-01-02,01-01-01-01-01,NS
01-01-01-01-02,01-01-01-02-02,SN
01-01-01-01-02,01-01-01-02-02,NS
01-01-01-01-03,01-01-01-01-04,SN
01-01-01-01-03,01-01-01-01-02,NS
01-01-01-01-03,01-01-01-02-03,SN
01-01-01-01-03,01-01-01-02-03,NS
01-01-01-01-04,01-01-01-01-05,SN
01-01-01-01-04,01-01-01-01-03,NS
01-01-01-01-04,01-01-01-02-04,SN
01-01-01-01-04,01-01-01-02-04,NS
01-01-01-01-05,01-01-01-01-06,SN
01-01-01-01-05,01-01-01-01-04,NS
01-01-01-01-05,01-01-01-02-05,SN
01-01-01-01-05,01-01-01-02-05,NS
01-01-01-01-06,01-01-01-01-07,SN
01-01-01-01-06,01-01-01-01-05,NS
01-01-01-01-06,01-01-01-02-06,SN
01-01-01-01-06,01-01-01-02-06,NS
01-01-01-01-07,01-01-01-01-08,SN
01-01-01-01-07,01-01-01-01-06,NS
01-01-01-01-07,01-01-01-02-07,SN
01-01-01-01-07,01-01-01-02-07,NS
01-01-01-01-08,01-01-01-01-09,SN
01-01-01-01-08,01-01-01-01-07,NS
01-01-01-01-08,01-01-01-02-08,SN
01-01-01-01-08,01-01-01-02-08,NS
01-01-01-01-09,01-01-01-01-10,SN
01-01-01-01-09,01-01-01-01-08,NS
01-01-01-01-09,01-01-01-02-09,SN
01-01-01-01-09,01-01-01-02-09,NS
01-01-01-01-10,01-01-01-01-09,NS
01-01-01-01-10,01-01-01-02-10,SN
01-01-01-01-10,01-01-01-02-10,NS
01-01-01-02-01,01-01-01-02-02,SN
01-01-01-02-01,01-01-01-03-01,SN
01-01-01-02-01,01-01-01-03-01,NS
01-01-01-02-02,01-01-01-02-03,SN
01-01-01-02-02,01-01-01-02-01,NS
01-01-01-02-02,01-01-01-03-02,SN
01-01-01-02-02,01-01-01-03-02,NS
01-01-01-02-03,01-01-01-02-04,SN
01-01-01-02-03,01-01-01-02-02,NS
01-01-01-02-03,01-01-01-03-03,SN
01-01-01-02-03,01-01-01-03-03,NS
01-01-01-02-04,01-01-01-02-05,SN
01-01-01-02-04,01-01-01-02-03,NS
01-01-01-02-04,01-01-01-03-04,SN
01-01-01-02-04,01-01-01-03-04,NS
01-01-01-02-05,01-01-01-02-06,SN
01-01-01-02-05,01-01-01-02-04,NS
01-01-01-02-05,01-01-01-03-05,SN
01-01-01-02-05,01-01-01-03-05,NS
01-01-01-02-06,01-01-01-02-07,SN
01-01-01-02-06,01-01-01-02-05,NS
01-01-01-02-06,01-01-01-03-06,SN
01-01-01-02-06,01-01-01-03-06,NS
01-01-01-02-07,01-01-01-02-08,SN
01-01-01-02-07,01-01-01-02-06,NS
01-01-01-02-07,01-01-01-03-07,SN
01-01-01-02-07,01-01-01-03-07,NS
01-01-01-02-08,01-01-01-02-09,SN
01-01-01-02-08,01-01-01-02-07,NS
01-01-01-02-08,01-01-01-03-08,SN
01-01-01-02-08,01-01-01-03-08,NS
01-01-01-02-09,01-01-01-02-10,SN
01-01-01-02-09,01-01-01-02-08,NS
01-01-01-02-09,01-01-01-03-09,SN
01-01-01-02-09,01-01-01-03-09,NS
01-01-01-02-10,01-01-01-02-09,NS
01-01-01-02-10,01-01-01-03-10,SN
01-01-01-02-10,01-01-01-03-10,NS
01-01-01-03-01,01-01-01-03-02,SN
01-01-01-03-01,01-01-01-04-01,SN
01-01-01-03-01,01-01-01-04-01,NS
01-01-01-03-02,01-01-01-03-03,SN
01-01-01-03-02,01-01-01-03-01,NS
01-01-01-03-02,01-01-01-04-02,SN
01-01-01-03-02,01-01-01-04-02,NS
01-01-01-03-03,01-01-01-03-04,SN
01-01-01-03-03,01-01-01-03-02,NS
01-01-01-03-03,01-01-01-04-03,SN
01-01-01-03-03,01-01-01-04-03,NS
01-01-01-03-04,01-01-01-03-05,SN
01-01-01-03-04,01-01-01-03-03,NS
01-01-01-03-04,01-01-01-04-04,SN
01-01-01-03-04,01-01-01-04-04,NS
01-01-01-03-05,01-01-01-03-06,SN
01-01-01-03-05,01-01-01-03-04,NS
01-01-01-03-05,01-01-01-04-05,SN
01-01-01-03-05,01-01-01-04-05,NS
01-01-01-03-06,01-01-01-03-07,SN
01-01-01-03-06,01-01-01-03-05,NS
01-01-01-03-06,01-01-01-04-06,SN
01-01-01-03-06,01-01-01-04-06,NS
01-01-01-03-07,01-01-01-03-08,SN
01-01-01-03-07,01-01-01-03-06,NS
01-01-01-03-07,01-01-01-04-07,SN
01-01-01-03-07,01-01-01-04-07,NS
01-01-01-03-08,01-01-01-03-09,SN
01-01-01-03-08,01-01-01-03-07,NS
01-01-01-03-08,01-01-01-04-08,SN
01-01-01-03-08,01-01-01-04-08,NS
01-01-01-03-09,01-01-01-03-10,SN
01-01-01-03-09,01-01-01-03-08,NS
01-01-01-03-09,01-01-01-04-09,SN
01-01-01-03-09,01-01-01-04-09,NS
01-01-01-03-10,01-01-01-03-09,NS
01-01-01-03-10,01-01-01-04-10,SN
01-01-01-03-10,01-01-01-04-10,NS
01-01-01-04-01,01-01-01-04-02,SN
01-01-01-04-02,01-01-01-04-03,SN
01-01-01-04-02,01-01-01-04-01,NS
01-01-01-04-03,01-01-01-04-04,SN
01-01-01-04-03,01-01-01-04-02,NS
01-01-01-04-04,01-01-01-04-05,SN
01-01-01-04-04,01-01-01-04-03,NS
01-01-01-04-05,01-01-01-04-06,SN
01-01-01-04-05,01-01-01-04-04,NS
01-01-01-04-06,01-01-01-04-07,SN
01-01-01-04-06,01-01-01-04-05,NS
01-01-01-04-07,01-01-01-04-08,SN
01-01-01-04-07,01-01-01-04-06,NS
01-01-01-04-08,01-01-01-04-09,SN
01-01-01-04-08,01-01-01-04-07,NS
01-01-01-04-09,01-01-01-04-10,SN
01-01-01-04-09,01-01-01-04-08,NS
01-01-01-04-10,01-01-01-04-09,NS